	TCGA-A7-A13F-01	TCGA-A2-A0YE-01	TCGA-BH-A0B0-01	TCGA-C8-A131-01	TCGA-A2-A0D3-01	TCGA-AN-A0XN-01	TCGA-E2-A573-01	TCGA-E2-A15P-01	TCGA-A2-A25F-01	TCGA-AO-A12F-01	TCGA-E2-A1IK-01	TCGA-E9-A1NC-01	TCGA-EW-A1P4-01	TCGA-AR-A24N-01	TCGA-BH-A18I-01	TCGA-AR-A24L-01	TCGA-BH-A18G-01	TCGA-AO-A0JG-01	TCGA-BH-A0BD-01	TCGA-E2-A15I-01	TCGA-BH-A5IZ-01	TCGA-D8-A1JS-01	TCGA-AO-A03P-01
FOXR1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FOXR2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXRED1	1224	1659	811	995	1343	434	2279	1048	961	1233	738	669	1081	1018	966	598	387	681	506	843	789	2491	812
FOXRED2	11175	2084	1270	3115	4680	2436	1218	2827	2179	2637	1112	2275	891	4276	2276	2092	1236	1005	5041	1582	1312	2583	1900
FOXS1	139	76	183	184	69	191	156	253	209	123	79	148	49	77	163	279	40	388	90	69	116	138	222
FPGS	1409	2192	1729	1889	3272	1139	2334	3005	2507	1383	2052	1841	2504	2810	3211	2446	1709	1930	2726	1960	2699	8524	3193
FPGT	1904	926	1197	449	1976	1052	845	2216	1494	767	883	710	732	2807	2829	3262	534	2741	1174	1742	708	1507	1318
FPR1	271	128	212	180	174	461	299	154	2960	575	105	670	796	93	486	162	152	121	297	228	360	231	69
FPR2	3	21	2	20	2	18	36	2	274	74	4	26	143	4	9	6	0	13	22	1	34	5	7
FPR3	1028	843	1678	653	881	4644	1569	1151	18774	1416	584	1554	1608	1002	3382	1379	259	1255	3860	714	940	309	949
FRAS1	91	7425	343	601	54	134	64	589	172	253	50	108	1797	103	309	8514	41	3305	81	9315	119	15	150
FRAT1	253	75	324	276	395	107	307	394	369	176	310	238	216	388	738	230	122	857	229	474	330	711	568
FRAT2	581	270	1058	1127	1276	677	1414	883	1305	1175	569	1662	1604	982	1045	548	616	1422	743	1093	1841	1635	1219
FREM1	38	152	126	6	160	125	37	292	1289	97	26	59	21	115	236	73	0	342	220	509	3	1	11
FREM2	3	566	14	2	24	358	577	36	299	950	1	57	247	8	87	641	24	682	24	26	11	1	92
FRG1B	167	939	223	264	1100	736	469	1120	429	424	227	210	606	986	967	1304	81	181	485	842	261	702	705
FRG1	1329	1244	1173	1311	1538	1428	1118	1820	2200	1713	1104	1363	1297	1806	2228	3126	1082	1742	1858	1456	287	3056	2290
FRG2B	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FRG2C	1	0	0	5	1	0	2	0	1	1	0	1	1	2	0	0	3	0	0	0	0	0	0
FRG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRK	709	1141	133	120	355	150	351	341	104	142	127	140	700	1648	161	2348	149	474	650	814	835	193	180
FRMD1	19	0	29	0	1	3	0	3	24	1	1	1	0	3	11	17	1	22	16	18	0	5	15
FRMD3	21	40	211	22	24	84	49	102	373	96	23	135	63	85	59	99	91	153	108	168	168	28	38
FRMD4A	1710	1286	1770	1332	1493	1395	2663	1548	4254	3641	475	781	1166	1191	2450	2781	1127	3294	1986	1373	2191	672	1945
FRMD4B	1375	735	1091	1329	2216	849	652	2306	3405	2311	591	365	785	1063	2081	1631	1260	2162	1379	3957	848	1248	750
FRMD5	7	202	27	5	5	16	41	35	25	9	5	195	103	10	90	1307	323	4	16	18	48	0	9
FRMD6	2283	2646	4934	5761	4693	6968	1026	6697	5924	2516	1307	2242	1950	6043	12985	12935	1456	6408	6713	11117	979	2156	10856
FRMD7	11	7	33	10	0	43	0	7	11	0	2	2	2	8	9	38	0	158	11	13	2	2	2
FRMD8	2981	3212	2603	2080	2588	2307	2407	3615	3021	6701	1120	2792	2115	2497	2775	2697	2488	1988	1448	1917	3325	2587	1697
FRMPD1	1	61	29	22	0	31	10	23	26	44	11	23	22	2	4	149	0	20	94	5	6	5	8
FRMPD2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
FRMPD2	5	0	0	1	13	0	2	7	0	3	2	0	0	161	21	5	0	3	5	37	0	15	19
FRMPD4	1	0	4	0	0	1	1	1	40	0	1	15	9	2	4	1	0	3	0	1	2	0	0
FRRS1	162	212	288	61	362	394	88	490	396	99	43	103	377	358	678	758	38	737	201	611	52	70	188
FRS2	3356	1370	2596	803	5331	2043	919	11945	3060	1526	1576	883	1088	3821	4869	7227	808	3708	3866	5832	751	2828	3475
FRS3	195	438	122	120	215	228	267	357	197	148	196	426	241	239	385	292	239	201	240	195	390	260	282
FRYL	2306	2279	1704	1576	6737	2882	1136	7043	9612	2896	1565	1017	4125	6601	8038	9274	887	4870	4080	5399	950	1626	3197
FRY	1511	1029	1745	1656	3992	1717	269	3183	1817	1263	2416	397	965	4418	3001	5348	218	3979	5372	3987	226	1485	1269
FRZB	420	4814	534	79	790	906	220	1700	643	272	500	323	52	1860	2013	1487	250	2076	544	1345	64	209	542
FSCB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	5	0	0	0	0	0	1	1
FSCN1	2009	36577	5334	4551	1160	5600	16051	2397	8035	12510	1455	10048	22979	1412	4740	3186	4867	3485	2892	1259	8770	767	2235
FSCN2	10	54	31	6	146	29	37	111	14	4	48	49	29	324	34	62	10	71	23	26	31	52	37
FSCN3	3	0	3	0	1	2	1	2	3	2	5	1	5	1	0	3	0	0	2	3	4	2	8
FSD1L	132	162	95	70	225	298	130	603	438	114	255	39	316	536	452	690	49	183	201	300	211	8	416
FSD1	0	4	2	4	0	1	9	2	59	3	0	12	26	3	2	8	4	4	30	7	25	3	2
FSD2	1	2	0	1	3	1	1	0	3	1	0	3	6	5	1	3	0	2	1	2	1	1	4
FSHB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0
FSHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
FSIP1	3068	5	73	36	2036	933	4	2170	42	23	741	12	18	4811	1362	6548	4	1308	1007	535	12	377	1255
FSTL1	9387	54033	54655	22859	10240	37640	14071	23169	76996	27633	3637	17395	24635	28606	57535	50861	7731	27461	19193	17461	14303	2872	9699
FSTL3	1326	595	1251	534	2023	1976	543	1362	1093	1313	333	1570	1672	1918	2408	1505	1102	620	3341	1960	1106	588	920
FSTL4	385	6	4320	3	46	28	24	44	20	26	593	3	251	25	416	309	0	953	524	136	6	204	335
FSTL5	0	6	0	3	0	25	2	2	3	0	1	0	2	1	1	3	0	0	3	3	0	0	0
FST	78	318	2420	458	211	1640	360	743	270	1157	82	801	279	357	1203	3835	96	179	126	728	44	28	220
FTCD	1	11	0	35	10	0	154	60	7	0	7	49	4	3	2	3	0	2	6	2	6	4	0
FTH1	93606	159231	117251	121784	125921	200872	96541	128174	201954	101616	63097	84805	71747	105187	105144	82954	45643	76256	96709	81145	69007	262005	112533
FTHL17	0	2518	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
FTHL3	503	767	788	601	772	1142	1080	757	1459	560	369	1013	453	627	691	481	178	575	569	544	587	1772	640
FTLP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTL	60230	105358	132671	118623	35719	127576	85398	42268	270406	75077	39197	132651	71875	53794	108209	64688	52137	71465	106264	42232	98454	62154	150082
FTMT	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	151	0	0	0	0	0	0
FTO	2792	6527	2429	2228	3343	3453	1537	8185	4845	2768	2338	1482	3751	6926	3533	4309	1323	4949	6022	7701	1659	4622	3739
FTSJ1	1793	2571	1954	1893	1916	1827	1610	2508	2927	3020	1236	2068	2702	2043	3029	3262	1338	1986	2029	1138	3277	4154	2192
FTSJ2	2248	3955	1901	2133	1784	1073	1981	2623	2396	2247	1292	2258	3297	1765	2613	2960	1007	1852	1757	2009	3284	2366	2816
FTSJ3	3409	3134	2270	1640	3847	1764	2259	4963	4734	2596	1372	3038	4228	2795	3225	3734	4375	5299	3798	3047	5979	5273	4107
FTSJD1	1154	1381	1002	954	1678	1039	1458	2769	3676	1886	1086	665	1024	2625	2490	3317	557	3478	2066	1927	1019	839	2383
FTSJD2	3121	6283	2450	1496	3084	2135	3588	6667	6120	2584	2328	3898	3713	3851	4185	4813	654	2509	3467	4626	3106	2538	3682
FUBP1	3745	6499	3612	2379	7047	3000	3357	6771	8223	5248	3020	3529	5908	7624	9825	7431	2900	6205	5687	5721	3284	4854	7834
FUBP3	2895	3143	2446	1923	4386	2452	1700	4378	4083	4715	1855	1529	2645	3872	4560	6867	1095	4758	3889	3802	2042	2817	5365
FUCA1	2375	1647	6563	574	4746	1698	1535	11812	10282	1206	3810	1276	1385	3914	3339	4657	968	4391	2587	5321	1534	8385	2327
FUCA2	3783	6640	3062	3591	3988	3221	3293	4188	6664	7048	4558	3047	4705	5642	3910	5709	2843	1503	3550	2336	4895	2076	5917
FUK	2173	1222	590	1013	882	399	1158	1513	724	1313	871	598	501	852	857	541	422	2027	1852	692	564	804	1237
FUNDC1	856	1094	1688	804	1049	715	739	1912	966	878	911	1286	424	1138	1278	1690	542	1081	1016	901	674	1006	1911
FUNDC2P2	12	2	11	2	1	8	11	15	22	18	14	9	11	6	10	27	0	7	9	2	0	9	10
FUNDC2	3879	2666	3658	2068	2973	2238	2606	4555	4643	6075	2866	5532	5515	3646	4183	7155	1821	3610	3602	2524	3205	7178	4106
FURIN	18334	25999	4271	2096	5979	3327	5302	7313	7427	5842	15467	9695	33005	4801	9071	7395	4155	16038	7859	3387	35396	7349	4711
FUS	4834	27063	13829	12862	15881	5186	13867	19723	12002	17669	2378	15906	20401	11761	28491	10086	8558	15431	18729	16439	20973	10383	20282
FUT10	57	418	312	72	1260	259	159	581	723	235	153	414	438	622	786	236	148	472	684	238	301	455	219
FUT11	541	727	385	210	446	1082	304	673	1259	538	241	216	887	967	1033	1146	170	911	668	465	250	249	1084
FUT1	369	430	206	251	207	274	199	175	807	838	548	460	484	235	454	1171	54	736	464	312	405	124	1397
FUT2	860	323	482	1520	947	70	572	223	57	121	605	723	842	1366	659	229	1513	600	338	1035	576	24	443
FUT3	10	405	1450	2251	1238	36	751	12	15	80	10	716	285	171	10	16	2107	13	54	21	690	3	15
FUT4	208	115	460	389	220	450	216	596	2194	774	267	686	391	322	686	447	455	478	572	291	646	41	295
FUT5	0	48	4	0	8	11	12	2	4	6	0	1	1	1	0	22	0	0	1	4	3	0	2
FUT6	1	33	118	142	425	5	60	5	2	4	0	158	31	328	8	0	842	9	13	762	53	10	8
FUT7	3	18	91	27	22	22	246	11	401	5	34	158	132	12	74	2	5	37	17	32	28	12	16
FUT8	4701	2565	3848	1120	8886	1602	935	5233	3561	2824	2206	965	1008	3973	2914	9000	916	8338	2615	7972	721	3238	6435
FUT9	0	639	9	280	12	15	98	7	67	134	0	3	99	17	1029	2	183	13	7	1145	15	3	7
FUZ	884	1014	727	855	1401	554	557	1320	608	750	772	817	55	1015	1535	1067	74	580	830	810	456	1332	2766
FXC1	1691	2617	2310	1559	3262	1288	1588	4637	2966	1892	1710	1031	2329	2690	3614	2698	741	2903	2284	2789	1751	4292	2525
FXN	446	218	469	395	763	421	398	803	789	938	513	647	898	869	881	1059	527	617	658	499	654	731	889
FXR1	6903	13926	4764	4594	9007	5554	7162	8575	11497	8020	3473	4522	10323	8286	7050	11924	4705	8517	6778	6946	6360	4962	9097
FXR2	2192	3440	1614	1565	2547	1017	2451	3739	1999	3283	2397	1469	1799	2320	2628	2396	1562	1937	2510	1765	1712	4252	3069
FXYD1	3	5	303	19	4	13	17	101	198	24	21	65	4	0	73	24	12	161	75	33	17	1	4
FXYD2	0	15	10	8	2	0	15	5	53	0	6	38	7	1	17	3	5	12	6	0	49	0	1
FXYD3	29545	1197	15042	4001	7277	3140	7845	7997	1009	2887	8337	8922	2257	21472	8176	13183	51515	9003	13441	1509	6097	39428	7378
FXYD4	1	0	0	1	0	0	0	0	0	0	0	0	20	3	0	0	0	0	0	1	0	1	2
FXYD5	4955	2114	12357	27652	2994	7290	7398	2524	14195	10755	2696	11376	14803	1371	3674	4085	11018	5004	12516	1925	7342	12477	5362
FXYD6	649	18237	1199	506	409	1351	2802	1842	2114	1320	536	4329	1687	530	1564	1694	310	1730	918	911	1276	300	642
FXYD7	1	1	12	2	2	2	20	3	60	6	4	25	11	0	7	6	0	15	6	10	24	5	1
FYB	637	833	1070	743	1241	1476	1888	795	22951	527	712	1102	1794	1079	2866	1363	393	2868	1946	2133	524	165	669
FYCO1	5776	4012	4525	2175	6168	3021	1061	7955	5181	2440	1671	1094	1355	6820	7169	4527	815	4258	6199	5167	1134	3859	1816
FYN	715	3230	2340	1472	887	2179	1444	1047	7305	1747	574	1426	18157	937	3004	2148	498	2778	1640	1326	18738	530	1124
FYTTD1	4112	7160	4268	2988	4466	6031	3825	8082	9164	4397	3163	2936	4677	7323	7685	8330	2330	6434	6083	5527	5313	3733	6302
FZD10	37	47	77	82	24	127	52	101	101	68	679	34	70	57	147	109	586	163	97	57	29	522	69
FZD1	973	11972	3734	2634	2635	5329	3167	4170	4208	15319	9785	4740	2660	4507	6445	3979	1902	3529	7162	2901	3012	5536	1574
FZD2	574	1139	322	503	134	388	192	750	467	703	189	285	529	197	434	793	141	193	229	294	241	795	1119
FZD3	58	1267	227	288	1033	256	277	366	266	1296	295	609	270	1241	324	894	393	116	77	519	963	199	218
FZD4	2718	618	7143	2776	1614	3025	485	3445	6725	4243	1055	545	899	2969	3353	5582	310	3355	2918	2549	481	2977	1235
