	TCGA-E2-A15F-01	TCGA-AO-A1KR-01	TCGA-D8-A1JM-01	TCGA-A7-A4SE-01	TCGA-E2-A15S-01	TCGA-A2-A0ER-01	TCGA-E2-A105-01	TCGA-A7-A5ZW-01	TCGA-BH-A0EA-01	TCGA-AN-A0AS-01	TCGA-E2-A14O-01	TCGA-E2-A574-01	TCGA-C8-A274-01	TCGA-AN-A0AJ-01	TCGA-E2-A1AZ-01
MDK	3764	10197	17452	7144	19625	23910	30681	9316	3388	3536	54276	1869	5735	6431	20148
MDM1	668	283	734	322	1343	852	962	727	411	478	872	454	1200	1333	312
MDM2	21539	1222	5374	1344	9415	20966	10412	4900	3270	6713	10809	2703	5070	6681	2466
MDM4	2520	1703	2657	2025	4820	1544	3811	2337	3237	2721	2963	1200	5650	3436	1154
MDN1	1821	702	5192	1735	4290	4958	3868	1056	2077	1680	504	560	2946	3698	2487
MDP1	288	271	187	102	1491	883	1093	482	347	242	1226	360	831	613	165
MDS2	0	0	0	3	1	1	0	2	3	0	0	0	0	0	0
ME1	696	614	2632	675	1305	224	52	264	954	788	508	1253	172	918	827
ME2	3032	1811	6724	1163	2484	2125	3013	1187	1101	1783	918	49	2064	2153	3013
ME3	818	782	574	218	376	776	255	639	527	231	227	547	115	131	122
MEA1	1518	3529	2620	3652	6638	4331	3998	2626	1820	1908	6332	3446	2981	9906	812
MEAF6	4327	2906	2502	2938	7515	8792	8825	3719	3537	3192	7294	2594	6804	7933	2086
MECOM	251	113	340	271	382	618	471	646	741	249	1033	217	379	227	388
MECP2	3794	1677	4381	2730	8138	5294	10642	2363	5344	3075	1684	1036	6303	3021	2002
MECR	937	1060	1551	989	1347	1226	1602	701	782	847	1058	1797	1243	911	585
MED10	1230	647	1271	415	3281	1219	1498	1109	546	1654	2444	4334	959	2780	221
MED11	228	392	514	297	403	563	468	720	435	364	1038	701	742	1356	234
MED12L	250	5	39	175	140	53	150	12	33	8	91	4	185	47	25
MED12	3075	2999	8226	3006	7583	4096	4050	1115	5545	2526	1969	709	9928	3788	2718
MED13L	22282	1233	17399	2467	41948	43654	9761	4689	8879	6818	4730	715	9539	10190	3168
MED13	7654	1662	3680	2572	10432	10416	12484	3451	3455	3806	2944	1927	7780	6760	4467
MED14	8318	461	6910	3065	5433	6023	6649	1936	3450	4264	2760	1313	6769	5383	2818
MED15	2836	4060	2865	3558	6155	3489	4157	3661	3289	4616	3725	2578	3800	3345	909
MED16	3676	1372	1629	1472	2608	2021	3117	2036	2197	1507	2391	4495	4021	2192	370
MED17	1628	617	3528	1056	1932	1171	1745	1751	1388	1556	906	1183	2721	1994	1397
MED18	959	271	593	468	2833	1025	1786	1103	526	776	581	947	977	1218	297
MED19	656	440	731	405	1365	468	621	882	497	763	650	1443	756	2174	338
MED1	4868	969	4380	2126	6187	7380	8009	2052	3182	2464	3439	1701	6536	6197	2742
MED20	685	714	1161	2142	4360	1642	2483	1169	1053	917	1862	1078	1720	3888	566
MED21	1406	397	4710	1116	1581	2120	1580	1169	1053	675	2082	936	1742	3184	3715
MED22	1341	557	2757	1619	2880	2935	3247	1835	1957	2912	669	1006	3228	2546	1337
MED23	1930	590	3278	1517	2125	4085	3231	2253	2048	1471	1211	859	8192	4212	1529
MED24	4140	1851	3673	2399	6425	4779	13455	2902	2566	1842	4677	3479	7198	4403	1423
MED25	5158	2607	2356	1959	2314	2324	4407	1698	1944	2221	3352	1683	4254	4226	696
MED26	764	1000	1210	889	723	656	1163	584	540	491	760	449	1168	763	289
MED27	399	498	1308	474	559	670	1106	471	433	735	585	842	972	930	262
MED28	1246	1218	1855	1157	2176	1621	1808	1463	984	1190	1374	1305	2809	3446	1128
MED29	7129	2721	6603	2976	7824	7067	7477	3528	3373	2831	4772	2683	7394	5113	1829
MED30	292	257	1126	600	1609	300	1158	454	304	597	352	1007	489	1315	308
MED31	385	214	350	201	306	484	383	350	226	122	480	318	397	327	152
MED4	1981	1139	2248	1380	2208	3128	4255	2913	1562	2093	2840	2479	2247	3032	1342
MED6	557	399	884	526	887	791	1269	896	565	513	1304	596	1246	1778	668
MED7	454	198	593	244	974	745	756	672	289	378	790	349	858	1216	223
MED8	1940	1504	3755	1908	2421	2040	2078	1341	1086	1922	2320	1945	1993	2179	1023
MED9	920	556	1505	543	711	1854	913	836	926	624	893	788	1422	1093	459
MEF2A	3602	838	4490	3163	5251	3379	4264	2547	2206	2727	1795	783	3687	3559	1594
MEF2B	36	60	35	121	13	20	105	44	92	24	72	225	71	53	18
MEF2C	720	281	459	629	1236	1275	759	1592	1472	653	303	279	1032	688	972
MEF2D	4956	2031	6222	4023	7239	7875	3292	3651	6462	4589	2473	1084	9241	4043	1232
MEFV	27	10	6	18	10	12	21	13	7	7	9	5	26	44	15
MEG3	88	51	3	418	89	23	156	274	269	207	118	95	103	108	135
MEG8	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0
MEGF10	326	12	29	107	18	60	69	98	281	180	137	48	501	3	27
MEGF11	13	2	183	7	19	4	3	27	47	5	0	3	3	5	1
MEGF6	402	569	284	855	704	851	2285	2101	1416	1529	794	292	809	2023	644
MEGF8	3107	1776	4000	1758	5212	4287	3435	2181	3405	2181	696	1221	3436	1087	694
MEGF9	2178	455	1146	1054	2012	5384	4294	7959	7579	1234	2375	252	9911	7485	770
MEI1	50	39	53	39	38	56	55	74	62	30	72	6	31	194	59
MEIG1	3	1	1	0	1	7	9	1	7	0	0	20	0	23	7
MEIS1	237	62	2718	208	316	260	959	569	407	269	280	148	389	245	185
MEIS2	115	222	1914	246	285	99	145	500	197	171	98	292	161	134	124
MEIS3P1	1436	170	1051	347	1285	2359	1524	1482	1059	1453	2573	609	2407	706	546
MEIS3	1069	119	1245	374	1942	1308	3473	1781	902	592	2147	147	3306	1912	121
MELK	621	961	3614	920	2537	1607	1269	163	12	533	510	1408	1357	2222	2212
MEMO1	734	2264	2246	857	1315	981	1327	976	804	652	808	2017	2305	1430	1332
MEN1	3399	3132	3229	2398	4390	4184	893	1428	1804	2351	3119	2573	3423	5055	1489
MEOX1	192	50	7	134	247	228	192	337	763	0	63	92	4	119	181
MEOX2	57	19	10	95	205	147	112	282	849	89	74	32	23	151	68
MEP1A	0	2	0	7	1	0	5	1	3	2	10	1	0	16	1
MEP1B	0	0	4	0	2	1	2	0	0	0	0	0	1	1	0
MEPCE	3233	3109	5536	3294	5235	3299	4165	3151	3050	2112	3531	3179	4346	5113	1763
MEPE	1	20	0	0	0	9	13	1	2	0	5	0	2	11	1
MERTK	244	49	320	491	789	460	311	299	371	999	106	152	409	309	633
MESDC1	1058	1168	749	1574	2123	1083	1910	1002	1236	2507	1522	1191	2021	2062	388
MESDC2	2817	1876	8597	2071	3502	4329	4089	3684	2850	3231	4286	2885	5533	4040	1497
MESP1	47	796	217	250	70	45	129	26	75	229	25	411	1358	166	27
MESP2	40	54	14	127	6	64	42	41	6	117	12	148	304	88	9
MESTIT1	13	0	0	0	4	2	3	1	7	2	1	0	14	1	10
MEST	3112	3304	11549	269	2687	2096	2701	1849	2410	1295	1864	61	4304	3843	8413
METAP1	1919	2547	2761	1560	4261	2804	3285	2434	1398	1805	1912	1514	4095	3892	2090
METAP2	3971	2128	8239	1964	8723	6193	5195	4635	3012	2469	4255	2377	6272	7439	3102
METRNL	750	1533	448	840	1005	729	3067	964	960	1784	1889	812	1031	1348	146
METRN	1373	626	530	162	836	397	1329	1195	2076	1958	4756	188	1494	771	13
METT10D	4114	1018	9936	1541	2319	3376	2536	2681	2161	1817	1017	2079	2831	5510	1185
METT11D1	873	716	1211	913	2540	947	1591	1102	787	708	1760	1276	1848	1786	620
METT5D1	1128	219	1198	608	1462	2815	886	955	587	759	1561	519	2177	2151	449
METTL10	892	700	1683	476	964	2025	1273	1236	445	1383	1009	401	1642	803	816
METTL11A	422	526	1072	616	1510	1052	1609	853	735	1346	1069	1209	928	1583	441
METTL11B	3	0	0	3	0	0	4	2	4	3	12	0	5	2	0
METTL12	72	178	506	112	339	88	93	160	84	262	188	210	112	372	123
METTL13	2140	1350	3893	1853	4717	3113	3062	3108	3041	2368	2534	2355	6220	3673	1600
METTL14	1111	155	747	336	1404	1265	1182	1075	731	673	552	176	1671	1169	689
METTL1	936	1648	1579	493	1168	531	924	1007	549	1392	2810	1687	1014	1982	463
METTL2A	1312	648	1189	678	2717	2124	2683	749	697	724	1425	1364	2047	2010	627
METTL2B	839	570	1386	565	1365	1305	952	557	503	331	725	591	2178	868	644
METTL3	931	964	1311	986	2544	1653	2305	1472	1421	1075	2499	1378	1489	1831	1091
METTL4	496	271	401	977	1464	1039	830	361	303	316	338	175	615	647	239
METTL5	798	1463	2513	986	1141	1754	2161	1374	962	773	1523	2452	2436	1793	1297
METTL6	755	491	598	788	1624	1005	1335	589	546	654	1345	319	875	1170	504
METTL7A	3881	1391	1072	1234	5719	6741	3313	4607	4083	630	4405	289	2133	3497	819
METTL7B	60	1354	9	21	25	5	65	11	17	11	51	484	495	2	158
METTL8	1318	761	1804	708	1112	2304	1168	729	852	678	814	1185	2577	995	1137
METTL9	4075	1886	13725	4093	5388	6690	6414	5600	5424	4490	5388	2439	8316	8351	2639
MET	1012	1358	1455	1217	401	748	962	1151	1669	268	206	941	132	560	2271
MEX3A	489	9170	4360	4051	1067	421	11997	1198	1304	1180	1441	2235	7867	5848	4063
MEX3B	39	199	606	782	382	109	931	440	150	374	47	144	854	535	127
MEX3C	2265	1439	3342	2049	3369	4024	4195	2889	2325	2369	945	69	3830	2830	2675
MEX3D	554	577	1311	946	1216	859	1932	1314	1111	1259	892	936	2795	1676	206
MFAP1	3112	434	2919	924	4192	4422	3212	2451	1654	1724	1893	1668	2074	2715	607
MFAP2	605	6164	1411	2600	540	385	2617	5875	1656	3586	2938	3756	1081	3478	2568
MFAP3L	1062	63	54	705	123	530	316	821	474	1058	60	227	1130	4084	307
MFAP3	2599	455	3339	1479	4200	4420	2903	2372	2505	2496	2663	713	5537	4847	1588
MFAP4	1096	203	3	1586	401	1778	1276	8551	4803	391	1162	155	451	709	2383
MFAP5	714	120	1970	1753	197	1274	700	3579	2107	4064	1338	441	1584	3081	779
MFF	2690	2439	19478	1238	2780	3423	4615	2875	1997	1847	2403	3359	4719	3604	866
MFGE8	2697	3460	2958	18528	2144	1868	3662	6767	5578	6263	2267	7078	3254	2931	1784
MFHAS1	598	48	982	751	495	602	436	373	361	525	172	67	1185	491	1196
MFI2	352	468	10083	522	504	811	106	279	225	300	156	590	300	226	164
MFN1	3099	1436	4216	1835	1821	4731	3043	1722	1379	1736	1408	2854	4277	3748	1350
MFN2	7046	4217	6085	1951	6686	13758	9105	5483	4655	3928	2978	2621	6183	5663	4306
MFNG	315	90	195	228	268	321	223	637	751	258	148	29	245	424	187
MFRP	411	422	215	1368	437	520	756	3147	1600	2732	1310	758	569	1144	528
MFSD10	3024	4475	5249	6095	6250	1103	5549	2065	2316	2291	4469	14245	4201	5272	874
MFSD11	1333	1170	917	610	2800	1566	3112	1143	1033	550	2091	648	1908	1664	600
MFSD1	3910	1711	3097	2071	4189	6264	4293	4516	3299	4785	3610	1389	3895	5735	1836
MFSD2A	92	809	775	2643	244	31	512	272	210	869	28	339	1157	208	319
MFSD2B	14	132	43	70	47	57	59	29	9	21	67	393	67	105	13
MFSD3	839	427	1542	673	2115	814	1318	603	474	1144	1968	4161	770	936	108
MFSD4	159	157	10253	221	27	233	216	99	128	50	92	328	356	19	97
MFSD5	2724	1679	3035	1460	4087	2605	2135	1885	1611	1611	5565	1920	3090	3506	484
MFSD6L	325	20	4	528	431	526	6	97	171	266	12	1042	636	3	18
MFSD6	3180	2031	3798	2167	4120	6995	6323	1967	4454	2011	1039	1254	17375	8651	2049
MFSD7	203	136	19	225	225	1349	222	900	525	805	1730	347	631	193	97
MFSD8	1332	211	574	404	1128	1901	1110	700	434	626	416	486	1162	938	498
MFSD9	315	127	537	403	425	429	101	177	225	379	181	205	947	481	170
MGAM	171	20	40	19	6	24	23	20	9	12	3	53	15	19	2
MGAT1	5603	2319	7015	6404	6070	4633	5162	7706	6192	10102	5918	5162	5573	10622	3450
MGAT2	1451	489	1348	1090	1794	2254	2611	2278	1230	2140	2171	1315	3048	3259	1173
MGAT3	91	34	11020	479	298	116	131	259	345	56	33	610	56	78	61
MGAT4A	5491	947	2051	2039	24467	21306	4439	2746	4120	10289	1337	343	20559	4155	2230
MGAT4B	4159	1709	7469	4404	11456	4817	7226	3977	2927	5946	3140	5349	6179	5448	2190
MGAT4C	1	0	0	3	0	0	13	0	3	0	0	1	0	11	0
MGAT5B	132	361	318	9	812	369	1727	26	14	14	5	6	102	158	12
MGAT5	775	18	1097	404	816	1776	571	182	557	419	36	19	1398	288	683
MGA	3923	1182	3410	1604	4796	3928	1809	1756	2761	2379	1430	894	5164	3521	2415
MGC12916	5	13	58	12	51	17	8	34	3	10	14	0	3	46	11
MGC12982	118	245	79	105	202	157	158	44	40	245	89	12	161	128	21
MGC14436	9	0	0	3	74	15	1	6	14	2	30	5	24	0	1
MGC15885	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0
MGC16025	0	1	221	6	10	2	0	0	2	0	0	11	2	0	0
MGC16121	8	21	12	44	56	27	223	96	22	1	11	30	15	16	26
MGC16142	55	19	47	27	58	27	59	27	12	8	15	25	43	34	27
MGC16275	47	214	100	36	252	77	215	78	54	51	111	124	66	223	40
MGC16384	23	2	3	19	56	20	21	2	9	21	7	0	36	11	12
MGC16703	5	2	1	6	0	6	21	9	5	4	0	2	0	1	10
MGC21881	141	125	113	106	747	282	566	232	192	155	81	232	370	147	86
MGC23270	59	11	12	59	49	43	188	66	169	280	82	13	44	76	14
MGC23284	57	10	50	38	168	95	167	65	52	127	68	85	99	57	16
MGC26647	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0
MGC27382	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
MGC2752	1858	787	582	930	3789	1662	2310	1833	1452	1350	885	644	2341	2139	554
MGC2889	7	83	23	1	9	0	15	4	0	2	0	3	27	6	2
MGC29506	125	280	112	44	279	7206	409	147	297	49	450	17	49	728	237
MGC34034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGC3771	30	28	4	27	36	32	38	24	55	14	128	6	43	26	6
MGC42105	77	6	837	14	17	87	12	27	23	7	6	31	2	15	2
MGC4473	0	0	0	4	0	0	0	6	4	0	0	4	2	0	0
MGC45800	14	0	48	30	18	12	7	102	42	44	19	8	15	22	9
MGC57346	405	215	318	494	1387	394	1441	241	574	278	308	509	907	914	327
MGC70857	857	2111	3052	738	1900	599	1264	799	681	1224	3016	2141	591	2134	292
MGC72080	116	1423	1958	570	211	184	144	91	62	177	289	853	143	378	60
MGC87042	24	88	17	36	4	19	14	40	38	21	41	26	66	23	101
MGEA5	12329	4610	19665	4638	23023	13108	17371	8453	9243	10010	9286	3127	23468	16253	9860
MGLL	3250	592	2501	1299	7019	12839	3116	1543	9506	3654	793	282	13114	1565	644
MGMT	646	1062	1770	404	838	1828	1105	828	659	823	4010	1300	1947	837	348
MGP	78384	270364	2055	10312	7933	27312	227818	285694	39370	23111	999889	234549	148192	12456	66620
MGRN1	4231	1694	4365	4356	5084	2944	7304	3507	4093	3931	5247	1054	9227	4610	1222
MGST1	5996	4902	23657	8609	165	14669	566	6107	4484	9819	14491	9853	9473	931	8179
MGST2	1284	1243	959	335	2430	2201	1351	1459	1389	755	2528	1493	3534	556	595
MGST3	3175	4270	7030	1865	5846	4077	4308	3961	7483	2185	11072	8631	4180	9573	1808
MIA2	0	0	0	2	0	0	0	0	69	0	0	0	0	0	3
MIA3	3906	3136	6047	3290	7782	8426	5011	5652	7387	8651	5502	1931	24686	13323	3821
MIAT	267	114	414	447	163	106	173	338	662	411	311	15	305	607	530
MIA	55	1265	1358	1409	15	22	50	378	172	3	9	22176	1	3	20
MIB1	3806	1351	3257	3179	6548	9187	6503	5593	3137	4254	1757	1856	6103	3953	5427
MIB2	430	843	216	722	881	387	1251	663	797	945	470	1055	303	524	258
MICAL1	815	267	505	2075	1315	1112	3520	969	1102	795	1131	3523	2956	1528	575
MICAL2	5265	603	7336	5274	5068	4993	5436	6517	3059	10390	988	1034	7341	2857	2709
MICAL3	909	1884	4127	1873	2387	799	1279	1081	2087	1570	882	593	2294	1709	972
MICALCL	182	0	147	28	225	104	111	97	86	46	32	5	349	89	33
MICALL1	1607	1735	4662	3846	2136	2560	771	1623	2353	1871	734	2366	1262	1514	502
MICALL2	1098	684	297	1078	945	607	880	897	880	871	2367	970	2896	1651	188
MICA	475	246	485	472	458	862	232	434	739	673	1519	793	542	1488	294
MICB	559	90	252	542	109	2235	73	124	106	204	1255	31	77	1507	322
MID1IP1	509	596	1413	1651	2878	651	678	1358	1841	2153	1060	1223	4047	1750	451
MID1	349	71	1003	2065	120	258	171	323	484	2213	71	994	126	411	1565
MID2	2328	286	1744	676	1876	2444	1896	1274	2843	1835	1817	318	4083	1839	740
MIDN	5135	3119	2951	2575	6033	3713	14919	4244	5353	6353	6092	1971	11329	4889	1034
MIER1	2653	727	3577	1915	3256	4082	2794	2966	1808	2264	1253	887	2784	2537	1965
MIER2	1177	1390	938	1018	1061	935	2124	807	916	601	832	1422	1369	955	253
MIER3	2728	354	1603	854	4065	4515	3244	1496	969	1182	1166	463	2963	4020	1065
MIF4GD	840	775	353	346	4021	2382	3643	1191	806	496	2262	1763	1898	1507	274
MIF	2385	26848	12816	9773	13528	3069	10538	12693	7537	14318	16391	26309	7939	13004	627
MIIP	826	3132	1087	626	675	410	1652	801	558	683	879	2538	652	995	629
MIMT1	23	4	1	0	5	10	6	1	2	3	3	0	0	0	29
MINA	2327	1692	3633	1782	2351	782	2220	1803	1496	2095	152	1952	2097	2723	2390
MINK1	4036	1413	9095	4609	4299	6210	3753	3326	4077	3165	2341	2170	7018	8992	1807
MINPP1	1531	480	2577	719	3078	2058	2451	1380	1167	982	2305	588	2338	1839	952
MIOS	2386	405	976	670	1523	2502	988	1866	2151	1358	954	1459	2522	3097	916
MIOX	0	5	9	0	1	0	2	0	2	7	0	4	0	0	0
MIPEP	1221	428	1421	521	753	1862	1531	1911	1179	671	1737	1891	1835	3576	428
MIPOL1	178	117	219	120	754	478	572	469	301	160	587	204	1003	480	213
MIP	4	2	4	0	3	15	3	4	0	2	4	3	1	2	0
MIR155HG	32	26	17	37	5	24	35	42	15	61	22	18	32	122	101
MIR17HG	83	77	119	87	182	19	112	76	18	87	18	537	37	52	144
MIS12	1669	294	1010	864	1586	1240	1399	1110	865	609	631	906	2073	3976	627
MITD1	268	619	683	362	487	431	504	614	355	358	559	857	686	625	357
MITF	214	62	109	669	255	430	384	750	789	1407	163	659	1626	1000	317
MIXL1	0	0	1	2	1	0	3	0	1	0	0	1	0	3	5
MKI67IP	2224	2097	3654	1877	2655	1906	3137	2290	1311	2235	1744	3401	3660	2810	2449
MKI67	5021	6141	22801	4269	9007	9813	5470	539	379	3865	4213	1832	9517	10825	11660
MKKS	1449	854	1034	833	1779	3292	3505	2025	1747	2017	3599	2692	3021	4102	1022
MKL1	2169	1401	1987	3070	2722	2209	1380	1987	2389	2637	1835	922	2167	2359	881
MKL2	6527	642	2748	1861	45555	9688	7756	4078	7673	2872	4209	668	10872	5063	2125
MKLN1	5278	2058	5914	2186	5553	6073	3484	3284	4611	2243	3379	1339	5052	3746	4453
MKNK1	711	585	907	948	1343	1010	1347	1224	840	924	932	1004	1086	1008	737
MKNK2	12566	6940	9571	2690	8983	9007	9664	6714	10469	10282	3359	4523	10724	6542	1853
MKRN1	7806	6222	12523	4457	18867	9631	12684	8065	6206	8075	9742	3855	11041	8223	3334
MKRN2	2055	664	1375	2215	3826	2813	2906	1590	1323	1735	1940	1074	1415	2139	1205
MKRN3	0	217	2	277	5	1	138	5	1	3	46	124	1	126	122
MKS1	586	339	315	523	1896	825	3084	623	543	320	1001	1001	1376	1099	225
MKX	54	4	517	71	46	14	7	1678	96	36	2	46	6	2847	2670
MLANA	4	4	2	2	3	6	4	2	0	8	0	0	8	3	3
MLC1	4	12	54	7	5	136	3	29	268	0	2	9	40	15	4
MLEC	17093	6326	27049	5884	39186	26430	11838	11267	15501	14610	4839	8502	17903	4941	5523
MLF1IP	1121	1095	4186	576	4301	4339	3547	360	146	523	1819	707	1283	1700	1190
MLF1	1162	2468	1041	870	2015	842	2497	1264	1018	1391	200	2220	1175	3067	918
MLF2	12545	18602	54968	10503	18934	10719	11913	7680	5435	9328	21367	12058	8958	16556	11892
MLH1	2862	557	1320	567	3826	3995	2507	2232	1662	1649	2233	632	2241	2127	1070
MLH3	1192	428	1124	435	1710	1509	2841	1242	1027	483	1067	446	3109	2159	830
MLKL	307	824	1338	539	192	231	171	314	306	370	192	422	529	608	551
MLL2	8647	2767	7750	5513	17735	9989	6539	1963	5236	4516	2233	1027	8398	6177	3160
MLL3	9129	1847	7909	3267	8963	14613	6179	3854	5950	4099	2789	770	10710	4167	5608
MLL4	4761	1924	7562	4955	4455	2672	3962	1609	2418	2396	1562	1979	5353	3725	1236
MLL5	5459	1633	6102	4727	5720	6511	3332	2871	5777	3131	2908	242	8334	4970	2917
MLLT10	1687	903	2316	996	2950	2145	1141	1563	1164	1389	1319	1249	2829	1519	1741
MLLT11	386	168	225	306	1535	169	449	375	541	221	152	1122	844	315	589
MLLT1	4909	3120	4734	2434	3743	3449	7244	3047	3853	3277	2499	4982	6463	6061	1325
MLLT3	630	124	1120	181	305	1363	872	1000	649	315	1258	355	124	496	277
MLLT4	4553	3726	12019	5714	8103	47616	6563	4441	5676	4004	5305	6483	11435	5313	4173
MLLT6	6878	5427	4355	5274	20221	8700	21418	7427	8493	4396	2309	4893	11144	7654	2535
MLL	3643	1789	4625	2267	5522	5711	3210	2574	4695	4235	1601	1506	8152	4253	5232
MLNR	1	0	1	2	0	1	0	1	0	1	3	0	1	3	0
MLN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MLPH	14942	1183	360	1326	14519	30660	17115	12815	10508	8792	13793	195	35227	11974	82
MLST8	1681	2838	4584	1555	2845	1675	3404	2069	2119	2076	4303	2224	3001	3018	532
MLXIPL	227	68	5	36	229	8	378	54	407	37	111	71	124	140	245
MLXIP	1245	1016	2903	1860	4009	2023	2318	940	1534	2053	584	528	2448	1730	1508
MLX	2889	1816	2834	1485	5128	4003	4928	1925	1863	1845	4202	2089	2971	4615	1168
MLYCD	385	155	422	339	554	625	1068	429	455	454	569	508	677	530	293
MMAA	1021	279	700	484	508	860	682	718	522	395	537	114	1295	1660	297
MMAB	968	885	2341	537	3480	1083	1890	1559	1052	522	2736	709	1246	2383	338
MMACHC	394	961	1216	269	565	349	165	238	353	282	673	384	542	556	354
MMADHC	3997	1276	12331	4401	5409	7493	5973	5024	2943	4297	2337	4838	7076	4062	2600
MMD2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
MMD	617	142	377	633	2103	303	3954	959	1718	609	444	667	1556	2482	695
MMEL1	33	3	3	2	19	21	46	49	44	58	72	8	54	23	0
MME	661	326	488	1856	160	244	657	1608	3697	5155	572	49317	589	846	878
MMGT1	1742	285	1999	1523	2994	3461	1337	1747	1421	2624	836	1247	2724	2547	2129
MMP10	460	140	1	19	90	39	135	485	577	28	18	9	46	237	33
MMP11	1264	2637	292	31931	6855	3719	42534	22199	6331	54233	39841	538	25856	49870	8586
MMP12	153	24	1880	1434	219	14	501	52	351	808	73	130	0	2194	110
MMP13	307	5	1	2788	13	289	162	2896	263	2875	1895	414	1357	139	128
MMP14	6680	3989	4408	31911	5150	12348	13820	40606	15952	53247	14921	10133	17878	21467	12832
MMP15	1525	403	909	795	1751	1035	5096	1027	1358	5761	3265	2484	5948	1102	415
MMP16	530	10	32	159	222	512	78	266	197	308	48	413	56	74	299
MMP17	169	20	1223	91	436	35	1047	247	317	87	554	109	130	59	17
MMP19	551	763	657	986	899	781	1714	1115	1050	1354	1037	591	705	925	379
MMP1	83	1180	63	2968	130	136	129	655	61	588	684	145	1086	1804	194
MMP20	4	2	0	186	0	0	0	1	0	0	0	197	0	0	195
MMP21	1	2	0	0	0	2	7	0	1	0	2	0	1	1	4
MMP23A	0	0	0	0	13	0	0	93	89	0	0	0	0	0	0
MMP23B	59	24	48	163	127	24	206	188	206	36	274	212	29	28	23
MMP24	1321	1062	808	685	867	682	1456	646	602	1111	1080	525	553	721	763
MMP25	721	42	4321	1908	574	5991	1351	109	190	28	1117	1336	86	199	52
MMP26	0	0	0	0	0	231	1	0	0	0	0	0	0	0	0
MMP27	2	4	0	2	1	2	6	29	3	0	8	0	0	5	2
MMP28	150	19	70	106	213	63	140	296	869	180	94	25	36	71	46
MMP2	6967	4553	804	29252	3110	8427	12068	62597	26544	56565	16233	3634	15971	21959	13447
MMP3	1063	1467	0	1470	75	471	215	361	417	377	105	42	44	698	438
MMP7	1357	4601	384	15556	576	171	2138	1946	1034	4329	1612	16810	64	12262	5335
MMP8	2	0	3	32	9	2	112	3	26	42	28	73	1	13	5
MMP9	4659	238	563	9415	1962	621	4182	3568	3320	9091	8032	1893	454	9297	740
MMRN1	347	16	29	146	85	980	83	506	971	20	52	3	26	12	110
MMRN2	1177	279	389	1133	7333	1494	1083	2159	3917	1012	1414	117	1087	690	971
MMS19	3295	2008	4382	1770	6278	3697	4332	2852	2451	3234	3382	2294	6163	4249	2677
MN1	125	60	46	484	1113	554	821	2289	800	881	279	158	205	214	127
MNAT1	383	289	421	248	1587	1246	1883	447	483	475	1625	615	1086	1196	396
MND1	115	238	546	0	282	163	194	50	2	52	123	272	157	2230	336
MNDA	379	27	99	201	142	364	234	464	384	522	206	133	485	1140	594
MNS1	104	359	1023	192	858	533	434	294	71	39	168	268	213	775	213
MNT	2107	587	2499	1628	1367	1532	1634	1287	1698	1440	773	809	2368	1598	446
MNX1	6	54	23	18	495	1	433	2	1	54	59	2	25	196	0
MOAP1	1583	432	1250	759	4670	6696	4172	1921	2042	5644	1892	687	3562	2224	513
MOB2	1102	877	1476	1001	1287	1701	1435	1296	1048	1191	2168	2027	1544	1832	295
MOBKL1A	3211	1200	1724	1047	2907	4084	2370	2326	1153	1316	529	798	3503	4541	2219
MOBKL1B	2343	922	3778	1247	2671	3394	1565	1296	1459	1900	1138	1059	5669	4406	1420
MOBKL2A	3586	1208	2481	1184	2024	3194	3338	2341	2557	3026	2943	2247	3869	2645	915
MOBKL2B	318	360	720	717	226	416	175	613	585	236	83	372	135	405	1719
MOBKL2C	740	589	450	599	1427	959	733	897	1066	521	466	449	883	689	507
MOBKL3	2956	671	3919	2603	3598	4018	3220	2901	1627	2336	1414	2053	4748	28294	844
MOBP	2	2	2	10	1	0	0	1	6	5	1	0	0	2	6
MOCOS	975	546	7151	313	491	624	188	525	590	731	735	71	1019	221	228
MOCS1	488	346	247	811	1957	1423	860	537	1546	511	365	464	806	644	336
MOCS2	1888	898	2226	456	2188	2875	2807	1859	998	917	5029	775	3949	3089	607
MOCS3	1515	169	1050	727	1591	521	2570	604	423	486	564	655	1403	1423	281
MOGAT1	0	37	0	1	0	1	3	0	0	0	0	0	0	0	1
MOGAT2	435	1	45	24	3	470	8	77	149	20	2	10	504	2	20
MOGAT3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MOGS	3385	6043	5281	3829	2589	4307	3354	2151	2244	2706	3726	6239	5299	4578	1747
MOG	2	0	1	803	1	0	0	1	1	0	0	1	0	0	0
MON1A	412	357	268	241	389	421	543	421	454	451	626	367	458	551	104
MON1B	1078	607	1341	956	1263	1879	1957	835	1031	1299	914	548	1854	1239	876
MON2	3187	789	4197	1212	5483	4810	2341	2057	2145	7709	2999	822	4944	4205	1851
MORC1	0	0	1	1	0	127	0	0	0	0	0	0	0	3	1
